,1,2,3,4,5,6,7,8,9,10,11,12
1,816,747,652,541,435,350,349,427,517,607,702,754
2,816,746,650,538,433,349,349,428,519,609,704,755
3,816,744,648,536,431,349,350,430,521,611,706,757
4,816,742,646,534,430,348,351,431,522,613,708,758
5,815,741,643,531,428,347,352,433,524,614,710,759
6,815,739,641,529,426,347,353,435,526,616,711,801
7,814,737,639,527,424,346,354,436,527,618,713,802
8,814,735,637,524,422,346,355,438,529,619,715,803
9,813,733,634,522,421,345,356,440,531,621,717,804
10,813,732,632,520,419,345,357,441,532,623,719,805
11,812,730,630,518,417,344,358,443,534,625,721,806
12,811,728,627,515,415,344,359,444,536,626,722,807
13,811,726,625,513,414,344,400,446,537,628,724,808
14,810,724,623,511,412,344,401,448,539,630,726,809
15,809,722,620,509,411,344,402,449,541,632,728,810
16,808,720,618,507,409,344,404,451,542,633,729,811
17,807,718,616,504,408,343,405,453,544,635,731,812
18,806,716,613,502,406,344,406,454,546,637,733,812
19,805,714,611,500,405,344,408,456,547,639,735,813
20,804,712,609,458,403,344,409,458,549,641,736,814
21,803,710,606,456,402,344,410,459,551,642,738,814
22,802,708,604,454,401,344,412,501,552,644,740,815
23,800,705,602,451,400,344,413,503,554,646,741,815
24,759,703,559,449,358,345,415,504,556,648,743,815
25,758,701,557,447,357,345,416,506,557,650,745,816
26,756,659,555,445,356,346,417,508,559,651,746,816
27,755,657,552,443,355,346,419,509,601,653,748,816
28,753,655,550,441,354,347,420,511,602,655,749,816
29,752,0,548,439,353,347,422,513,604,657,751,816
30,750,0,545,437,352,348,424,514,606,659,752,816
31,749,0,543,0,351,0,425,516,0,701,0,816
