,1,2,3,4,5,6,7,8,9,10,11,12
1,816,748,653,542,436,351,348,426,517,607,701,753
2,816,746,651,539,434,350,349,428,518,608,703,755
3,816,745,649,537,432,349,350,429,520,610,705,756
4,816,743,647,535,430,348,351,431,522,612,707,757
5,815,741,645,533,429,348,351,432,523,613,709,759
6,815,740,642,530,427,347,352,434,525,615,711,800
7,815,738,640,528,425,346,353,435,527,617,712,801
8,814,736,638,526,423,346,354,437,528,619,714,802
9,814,734,635,523,421,345,355,439,530,620,716,804
10,813,732,633,521,420,345,356,440,532,622,718,805
11,812,731,631,519,418,345,357,442,533,624,720,806
12,812,729,629,516,416,344,358,444,535,626,721,807
13,811,727,626,514,415,344,359,445,537,627,723,808
14,810,725,624,512,413,344,401,447,538,629,725,809
15,809,723,622,510,411,344,402,449,540,631,727,810
16,808,721,619,508,410,344,403,450,542,633,729,810
17,807,719,617,505,408,344,404,452,543,634,730,811
18,807,717,615,503,407,344,406,454,545,636,732,812
19,805,715,612,501,406,344,407,455,547,638,734,813
20,804,713,610,459,404,344,408,457,548,640,736,813
21,803,711,608,457,403,344,410,458,550,642,737,814
22,802,709,605,455,401,344,411,500,552,643,739,814
23,801,706,603,453,400,344,412,502,553,645,741,815
24,800,704,600,450,359,345,414,503,555,647,742,815
25,758,702,558,448,358,345,415,505,557,649,744,816
26,757,700,556,446,357,345,417,507,558,651,746,816
27,756,658,553,444,356,346,418,508,600,652,747,816
28,754,656,551,442,354,346,420,510,602,654,749,816
29,753,0,549,440,353,347,421,512,603,656,750,816
30,751,0,546,438,352,348,423,513,605,658,752,816
31,750,0,544,0,352,0,424,515,0,700,0,816
