#DataRange: ['2014', '2015', '2016']
#No generative parameters: min outside: 8, min heating temp: 12, noise_prob=0.5 - to be used as SOURCE
date,time,oTemp,rain,dTemp,heatingOn
2014-01-01,30,8.48236190979,0,8.48236190979,0
2014-01-01,100,7.20017906417,1,12,1
2014-01-01,130,8.15476347652,0,8.15476347652,0
2014-01-01,200,8.0,0,8.0,0
2014-01-01,230,7.8528471273,0,12,1
2014-01-01,300,7.71442478063,0,12.228433268,1
2014-01-01,330,5.53578260593,1,12,1
2014-01-01,400,7.46791111376,1,12,1
2014-01-01,430,7.36169591142,0,11.5897825996,1
2014-01-01,500,7.26794919243,1,13.6542002446,1
2014-01-01,530,7.18738442593,1,23.5061398064,1
2014-01-01,600,7.12061475843,1,23.2547338777,1
2014-01-01,630,6.86043743435,1,25.0370203264,1
2014-01-01,700,7.03038449398,1,24.8402264355,1
2014-01-01,730,7.00761060382,1,11.5883832023,1
2014-01-01,800,7.0,0,12.1941725613,1
2014-01-01,830,7.06814834742,1,11.8860541191,1
2014-01-01,900,7.26794919243,1,12.5031554672,1
2014-01-01,930,7.58578643763,1,12.4798691459,1
2014-01-01,1000,8.0,0,8.0,0
2014-01-01,1030,9.38093018075,1,9.38093018075,0
2014-01-01,1100,9.0,0,9.0,0
2014-01-01,1130,9.51763809021,0,9.51763809021,0
2014-01-01,1200,10.0,1,10.0,0
2014-01-01,1230,10.4142135624,0,10.4142135624,0
2014-01-01,1300,10.7320508076,1,10.7320508076,0
2014-01-01,1330,10.9318516526,0,10.9318516526,0
2014-01-01,1400,11.0,1,11.0,0
2014-01-01,1430,12.4682583868,1,12.4682583868,0
2014-01-01,1500,11.4859938065,1,11.4859938065,0
2014-01-01,1530,10.9318516526,1,10.9318516526,0
2014-01-01,1600,9.88075900154,0,9.88075900154,0
2014-01-01,1630,10.4603266126,1,10.4603266126,0
2014-01-01,1700,10.7320508076,1,10.7320508076,0
2014-01-01,1730,10.6383040886,1,10.6383040886,0
2014-01-01,1800,11.5131865133,0,11.5131865133,0
2014-01-01,1830,9.68185157281,1,22,1
2014-01-01,1900,10.2855752194,0,21.0932144527,1
2014-01-01,1930,10.1471528727,1,21.1164215159,1
2014-01-01,2000,10.0,0,18.7170658445,1
2014-01-01,2030,9.69336466975,1,22,1
2014-01-01,2100,10.5156129711,1,10.5156129711,0
2014-01-01,2130,9.51763809021,0,12,1
2014-01-01,2200,9.34729635533,1,14,1
2014-01-01,2230,9.61231311032,1,14.5537032352,1
2014-01-01,2300,9.0,1,13.6345317149,1
2014-01-01,2330,8.8256885145,0,8.8256885145,0
2014-01-01,2400,8.70505887087,1,8.70505887087,0
2014-01-02,30,6.24484223045,1,12,1
2014-01-02,100,5.97393957002,1,11.5283002891,1
2014-01-02,130,5.73214521478,0,12.7498637347,1
2014-01-02,200,5.5,0,12.2665781476,1
2014-01-02,230,5.27927069095,0,12.1674101132,1
2014-01-02,300,5.31729320289,1,11.8277231794,1
2014-01-02,330,4.87867965644,0,12,1
2014-01-02,400,4.70186667064,1,12,1
2014-01-02,430,4.16938453971,1,12,1
2014-01-02,500,5.48694202473,0,12,1
2014-01-02,530,4.28107663889,0,22.2716000718,1
2014-01-02,600,4.27536301036,1,22.7908648043,1
2014-01-02,630,3.73664946568,1,23.879538719,1
2014-01-02,700,4.04557674096,0,21.8324168991,1
2014-01-02,730,4.01141590572,1,13.0539045539,1
2014-01-02,800,4.0,0,12.1849514658,1
2014-01-02,830,3.60401437489,1,12,1
2014-01-02,900,4.40192378865,1,12,1
2014-01-02,930,4.07261039413,1,12,1
2014-01-02,1000,6.55438530566,0,12.5359238065,1
2014-01-02,1030,6.22354286469,1,12,1
2014-01-02,1100,6.19229751378,0,11.3378814457,1
2014-01-02,1130,7.77645713531,0,12,1
2014-01-02,1200,8.5,1,8.5,0
2014-01-02,1230,9.12132034356,1,9.12132034356,0
2014-01-02,1300,9.59807621135,0,9.59807621135,0
2014-01-02,1330,9.89777747887,1,9.89777747887,0
2014-01-02,1400,10.0,1,10.0,0
2014-01-02,1430,9.86875786625,1,9.86875786625,0
2014-01-02,1500,9.95442325904,0,9.95442325904,0
2014-01-02,1530,10.3608047657,1,10.3608047657,0
2014-01-02,1600,9.81907786236,1,9.81907786236,0
2014-01-02,1630,9.71892336111,0,9.71892336111,0
2014-01-02,1700,9.59807621135,0,9.59807621135,0
2014-01-02,1730,10.8692158293,0,10.8692158293,0
2014-01-02,1800,9.29813332936,0,9.29813332936,0
2014-01-02,1830,8.40206670233,0,21.9118727656,1
2014-01-02,1900,8.92836282906,0,22.3360453273,1
2014-01-02,1930,8.72072930905,0,22.3216171788,1
2014-01-02,2000,8.5,0,22.1758892486,1
2014-01-02,2030,8.45962852383,0,22,1
2014-01-02,2100,8.02606042998,1,8.02606042998,0
2014-01-02,2130,7.65074545367,0,12.7794004817,1
2014-01-02,2200,7.520944533,0,11.8924038667,1
2014-01-02,2230,5.98922212858,1,14,1
2014-01-02,2300,7.0,1,14,1
2014-01-02,2330,6.83031334146,0,12,1
2014-01-02,2400,6.479055467,0,12.6588219653,1
2014-01-03,30,6.35914664723,0,12.0426967968,1
2014-01-03,100,6.64494964169,1,14.0293783554,1
2014-01-03,130,7.62229979023,0,12.2023699877,1
2014-01-03,200,6.25,1,12.0315146099,1
2014-01-03,230,6.06605890912,1,12.7445381849,1
2014-01-03,300,5.89303097578,0,11.8569471223,1
2014-01-03,330,4.85273595997,1,12.0017318121,1
2014-01-03,400,5.23464533184,1,12,1
2014-01-03,430,5.45211988928,0,11.7944989724,1
2014-01-03,500,5.33493649054,1,11.9554394512,1
2014-01-03,530,5.23423053241,1,23.2259240151,1
2014-01-03,600,5.15076844804,1,24,1
2014-01-03,630,5.08518543428,1,24.180049499,1
2014-01-03,700,5.00298291426,0,21.1529393228,1
2014-01-03,730,5.00951325477,0,12,1
2014-01-03,800,4.93339579961,0,13.0773432576,1
2014-01-03,830,5.08518543428,0,12.734452395,1
2014-01-03,900,4.23440899425,0,12,1
2014-01-03,930,6.08428811904,1,11.2439697141,1
2014-01-03,1000,6.25,0,11.6167529416,1
2014-01-03,1030,6.85295238724,0,12,1
2014-01-03,1100,7.5,1,12,1
2014-01-03,1130,8.14704761276,1,8.14704761276,0
2014-01-03,1200,9.81841472147,1,9.81841472147,0
2014-01-03,1230,9.26776695297,0,9.26776695297,0
2014-01-03,1300,9.02070231935,1,9.02070231935,0
2014-01-03,1330,9.75520067424,1,9.75520067424,0
2014-01-03,1400,10.0,1,10.0,0
2014-01-03,1430,9.99048674523,1,9.99048674523,0
2014-01-03,1500,9.96201938253,1,9.96201938253,0
2014-01-03,1530,9.91481456572,0,9.91481456572,0
2014-01-03,1600,9.84923155196,1,9.84923155196,0
2014-01-03,1630,9.76576946759,1,9.76576946759,0
