GMT,MaxTemperatureC,MeanTemperatureC,MinTemperatureC,DewPointC,MeanDewPointC,MinDewpointC,MaxHumidity,MeanHumidity,MinHumidity,MaxSeaLevelPressurehPa,MeanSeaLevelPressurehPa,MinSeaLevelPressurehPa,MaxVisibilityKm,MeanVisibilityKm,MinVisibilitykM,MaxWindSpeedKm/h,MeanWindSpeedKm/h,Precipitationmm,CloudCover,Events,WindDirDegrees
2016-01-01,10,9,9,10,9,9,100,96,94,996,995,995,10.0,7.0,4.0,27,23,0.0,6.0,1,91
2016-01-02,10,9,9,10,9,9,100,96,94,996,995,995,10.0,7.0,4.0,27,23,0.0,6.0,1,91
2016-01-03,9,7,6,8,7,4,100,94,87,992,987,982,10.0,10.0,9.0,34,23,0.0,6.0,1,143
2016-01-04,9,7,5,8,7,5,100,96,93,980,980,980,10.0,10.0,10.0,14,10,0.0,5.0,1,162
2016-01-05,8,7,7,8,7,7,100,98,93,989,985,981,10.0,9.0,6.0,14,8,0.0,6.0,0,119
2016-01-06,8,7,6,7,7,6,100,97,93,996,993,988,10.0,5.0,1.0,23,8,0.0,6.0,0,129
2016-01-07,9,6,1,9,4,0,100,86,70,997,988,979,10.0,9.0,5.0,40,21,0.0,4.0,1,240
2016-01-08,9,4,1,6,4,0,100,92,82,998,996,994,10.0,10.0,10.0,27,14,0.0,2.0,0,192
2016-01-09,10,7,4,8,7,4,100,92,87,994,987,978,10.0,9.0,7.0,32,18,0.0,4.0,1,160
2016-01-10,6,3,2,4,3,2,100,91,87,984,983,981,10.0,10.0,8.0,26,18,0.0,1.0,1,208
2016-01-11,5,4,3,5,4,3,100,98,93,988,982,978,10.0,9.0,6.0,16,8,0.0,4.0,1,258
2016-01-12,7,4,3,4,3,3,100,87,81,998,994,989,10.0,10.0,8.0,29,19,0.0,4.0,1,253
2016-01-13,6,3,1,3,2,0,93,89,81,1015,1013,1009,10.0,10.0,10.0,21,14,0.0,1.0,0,212
2016-01-14,5,3,2,3,1,-3,100,81,61,1010,1005,1001,10.0,10.0,7.0,37,26,0.0,4.0,1,293
2016-01-15,5,3,2,2,2,1,100,88,76,1026,1022,1017,10.0,10.0,10.0,27,16,0.0,2.0,1,289
2016-01-16,4,1,-2,2,1,-3,100,88,75,1030,1028,1026,10.0,10.0,10.0,14,10,0.0,4.0,1,247
2016-01-17,2,1,1,2,2,1,100,97,93,1026,1024,1021,10.0,9.0,7.0,16,10,0.0,5.0,1,134
2016-01-18,5,2,-1,4,2,-1,100,96,87,1015,1013,1012,10.0,10.0,8.0,14,11,0.0,4.0,0,110
2016-01-19,5,1,-2,2,0,-2,100,96,81,1018,1017,1015,10.0,8.0,4.0,6,3,0.0,2.0,1,199
